578395 -> 578401
TID,Start,Join,Alloc,Dealloc,Lock,Unlock,Cond Wait,Cond Signal,Cond BC,R1,R2,R4,R8,W1,W2,W4,W8,RW,RR,Stack ACC,Stack Range ACC,Func Call, Ptr PropTotal,size
0,2,2,11,10,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,987,0,1016, 20487
1,0,0,3,2,2,2,0,0,0,4,0,1,0,1,0,2,2,0,0,0,0,22,0,41, 994
2,0,0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,16,0,23, 538
