578538 -> 578544
TID,Start,Join,Alloc,Dealloc,Lock,Unlock,Cond Wait,Cond Signal,Cond BC,R1,R2,R4,R8,W1,W2,W4,W8,RW,RR,Stack ACC,Stack Range ACC,Func Call, Ptr PropTotal,size
57,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,0,0,0,12,0,67, 2275
58,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2,0,0,0,0,0,12,0,68, 2312
59,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,12,0,69, 2349
60,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,0,12,0,70, 2386
61,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,2,0,0,0,0,0,12,0,71, 2423
62,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,0,0,0,0,0,12,0,72, 2460
63,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,2,0,0,0,0,0,12,0,73, 2497
64,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,2,0,0,0,0,0,12,0,74, 2534
65,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,0,0,12,0,75, 2571
66,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,2,0,0,0,0,0,12,0,76, 2608
67,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0,0,12,0,48, 1572
68,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,2,0,0,0,0,0,12,0,77, 2645
69,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,12,0,31, 943
70,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,2,0,0,0,0,0,12,0,78, 2682
71,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,2,0,0,0,0,0,12,0,79, 2719
72,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,12,0,25, 721
73,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,2,0,0,0,0,0,12,0,80, 2756
74,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,2,0,0,0,0,0,12,0,81, 2793
75,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,12,0,42, 1350
76,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,2,0,0,0,0,0,12,0,82, 2830
77,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,2,0,0,0,0,0,12,0,83, 2867
78,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,2,0,0,0,0,0,12,0,84, 2904
79,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,12,0,20, 536
80,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,2,0,0,0,0,0,12,0,85, 2941
81,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,2,0,0,0,0,0,12,0,86, 2978
82,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,2,0,0,0,0,0,12,0,87, 3015
83,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2,0,0,0,0,0,12,0,51, 1683
84,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,2,0,0,0,0,0,12,0,88, 3052
85,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,0,0,0,0,0,12,0,53, 1757
86,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,12,0,89, 3089
87,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,2,0,0,0,0,0,12,0,90, 3126
88,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,2,0,0,0,0,0,12,0,91, 3163
89,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,2,0,0,0,0,0,12,0,92, 3200
90,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,2,0,0,0,0,0,12,0,93, 3237
91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,12,0,15, 351
92,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,2,0,0,0,0,0,12,0,94, 3274
93,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,2,0,0,0,0,0,12,0,95, 3311
94,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,2,0,0,0,0,0,12,0,96, 3348
95,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,2,0,0,0,0,0,12,0,97, 3385
96,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,2,0,0,0,0,0,12,0,98, 3422
