472963 -> 472969
TID,Start,Join,Alloc,Dealloc,Lock,Unlock,Cond Wait,Cond Signal,Cond BC,R1,R2,R4,R8,W1,W2,W4,W8,RW,RR,Stack ACC,Stack Range ACC,Func Call, Ptr PropTotal,size
0,2,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,993,0,1020, 20497
1,0,0,3,2,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,1,0,18,0,30, 646
2,0,0,0,0,0,0,0,0,0,157,0,1,1,1,0,0,4,0,0,1,0,172,0,336, 6758
